iter	Logloss
115	0.07750896454
116	0.07691237768
117	0.0760741806
118	0.07516005834
119	0.0736795489
120	0.07283308665
121	0.07228540421
122	0.07104806264
123	0.06969585419
124	0.06923703512
125	0.06773457845
126	0.0670146815
127	0.06605731328
128	0.0651166598
129	0.06403562546
130	0.06331052144
131	0.06251614889
132	0.06196725845
133	0.06090316137
134	0.0597496287
135	0.05882422129
136	0.05765799205
137	0.05692819595
138	0.05640703837
139	0.05561985016
140	0.05470261892
141	0.05386147181
142	0.05329145749
143	0.05303202947
144	0.05248533567
145	0.05177164714
146	0.05169599851
147	0.05105961482
148	0.05069778124
149	0.05000454903
150	0.04986074448
151	0.04938964844
152	0.04897567113
153	0.04865886052
154	0.04858784676
155	0.04809273402
156	0.04802045504
157	0.04761195183
158	0.04731882095
159	0.04659740766
160	0.04606616338
161	0.04576627096
162	0.04571306229
163	0.04507116636
164	0.04437488874
165	0.04387620926
166	0.04353436152
167	0.04333989461
168	0.04311882019
169	0.04267520269
170	0.04260979652
171	0.04256055196
172	0.04209408442
173	0.04202951113
174	0.04155488332
175	0.04090756098
176	0.04057397525
177	0.04015701294
178	0.0395874691
179	0.03950338999
180	0.03910573959
181	0.03900491079
182	0.03861687342
183	0.03833792369
184	0.03775765737
185	0.03715362867
186	0.03687646866
187	0.03629415512
188	0.03584732691
189	0.03555858612
190	0.03536195119
191	0.03513943036
192	0.03497202873
193	0.03474092484
194	0.03440085093
195	0.03417341868
196	0.03410603205
197	0.03390499115
198	0.03339190165
199	0.03298695882
200	0.0328335762
201	0.03268065135
202	0.0324155585
203	0.0319234848
204	0.03154247284
205	0.03140306473
206	0.0313307635
207	0.03114717166
208	0.03097147942
209	0.03056975683
210	0.03020149231
211	0.02992813746
212	0.02951057752
213	0.02921482722
214	0.02904150327
215	0.02894910177
216	0.02882177989
217	0.02867472967
218	0.02852113088
219	0.02832505544
220	0.02829219182
221	0.02804430644
222	0.02790368398
223	0.02772347132
224	0.02739067713
225	0.02695269267
226	0.02690961838
227	0.02662003517
228	0.02643988609
229	0.0261457777
230	0.02584021568
231	0.02565758069
232	0.02554778099
233	0.02535833041
234	0.02491059621
235	0.02460614204
236	0.02435174783
237	0.02418983777
238	0.02408496539
239	0.02394775709
240	0.0237616094
241	0.02365375201
242	0.02350946109
243	0.02347332954
244	0.0232506752
245	0.02310770671
246	0.02300579071
247	0.0226776886
248	0.02261349996
249	0.02249997457
250	0.02232117971
251	0.02229018529
252	0.02216335932
253	0.02214667797
254	0.02202384313
255	0.02196721713
256	0.02178191821
257	0.02168725014
258	0.02152614911
259	0.02136539777
260	0.02113935471
261	0.02101198514
262	0.02087245623
263	0.02080856005
264	0.02065581163
265	0.02048020681
266	0.02033847014
267	0.02013507366
268	0.01997725328
269	0.01984921455
270	0.0197507604
271	0.01967506091
272	0.01955064933
273	0.01938614845
274	0.01924412886
275	0.01907783826
276	0.01895701408
277	0.01893351078
278	0.01886560599
279	0.0186928765
280	0.01859157244
281	0.01848459244
282	0.01846121152
283	0.01830472946
284	0.01822690169
285	0.01811466694
286	0.01810008685
287	0.0179929479
288	0.0179292647
289	0.01782158852
290	0.01779736837
291	0.01770886898
292	0.01763416767
293	0.01752522469
294	0.01738610586
295	0.01730587006
296	0.01722279231
297	0.01716785908
298	0.01709367275
299	0.01698975722
300	0.01697061062
301	0.01691856543
302	0.01671043237
303	0.01662362576
304	0.01648262342
305	0.01639246305
306	0.01620796363
307	0.01620027383
308	0.0161687247
309	0.01604560216
310	0.01599769274
311	0.01592317899
312	0.01584905783
313	0.01580039342
314	0.01565199852
315	0.01554064592
316	0.01540926933
317	0.01532535871
318	0.01531878789
319	0.01523725669
320	0.01522994359
321	0.01515499274
322	0.01503290494
323	0.01501603444
324	0.01495991389
325	0.01484112104
326	0.01474616845
327	0.0146579806
328	0.01459575971
329	0.01451295535
330	0.01449152629
331	0.0144579951
332	0.0144438839
333	0.014397494
334	0.01437237104
335	0.01435202916
336	0.01428959211
337	0.014274985
338	0.01420261224
339	0.01419063091
340	0.01416539669
341	0.0141467905
342	0.01414053917
343	0.01404856682
344	0.01391374906
345	0.01390382767
346	0.01377839406
347	0.01375439326
348	0.01364516099
349	0.01354790529
350	0.01351621787
351	0.01338459969
352	0.013367335
353	0.01327850978
354	0.01326853275
355	0.01324974616
356	0.01317934513
357	0.01308189551
358	0.01300396045
359	0.01299674273
360	0.0128477478
361	0.01284077168
362	0.01278015455
363	0.01272110462
364	0.01262628714
365	0.01253737768
366	0.01251073837
367	0.01244906743
368	0.01238115946
369	0.01235939105
370	0.01230718772
371	0.01230017821
372	0.01224144618
373	0.01223488092
374	0.01217756271
375	0.01210763295
376	0.01205802441
377	0.01193461577
378	0.01186661641
379	0.01185134808
380	0.01182381392
381	0.01177578211
382	0.01172417323
383	0.01165441434
384	0.01163352887
385	0.01156510989
386	0.01153653701
387	0.01147675991
388	0.01144928614
389	0.01140309334
390	0.01137356917
391	0.01134779771
392	0.01130423625
393	0.0112641867
394	0.01122507254
395	0.01119134744
396	0.01114179134
397	0.01111801624
398	0.0110800902
399	0.0110345904
400	0.0109325703
401	0.01092887084
402	0.01089722474
403	0.01086296717
404	0.01085705757
405	0.01085280339
406	0.01083287716
407	0.01079134544
408	0.01071408431
409	0.01065215588
410	0.01064402421
411	0.01062296549
412	0.01060882966
413	0.01054299752
414	0.01053897142
415	0.01048395316
416	0.01047869126
417	0.01044150035
418	0.01043374936
419	0.01035125653
420	0.01033839544
421	0.01024871111
422	0.01024168015
423	0.0101981624
424	0.01019269546
425	0.01012625933
426	0.01008370082
427	0.01007723967
428	0.01000361999
429	0.009997367064
430	0.009939932823
431	0.009912919998
432	0.009897072315
433	0.009892368317
434	0.009841701984
435	0.009834588369
436	0.009707883199
437	0.009685576757
438	0.00961783886
439	0.00958316803
440	0.009576148987
441	0.009550469716
442	0.009547514915
443	0.009523527622
444	0.009473408858
445	0.009462709427
446	0.009434700807
447	0.009432212512
448	0.009420395692
449	0.009410606225
450	0.009359782537
451	0.009327483177
452	0.009272230466
453	0.009225497246
454	0.009211872419
455	0.009154127439
456	0.00908320268
457	0.009078658422
458	0.009048418999
459	0.008988494873
460	0.008977476756
461	0.008916331132
462	0.008908847173
463	0.008872187932
464	0.008832018375
465	0.008830835025
466	0.008797469934
467	0.008795016607
468	0.008744326433
469	0.008728238742
470	0.00870008707
471	0.008682204882
472	0.008679219087
473	0.008648761113
474	0.008627327283
475	0.008602453868
476	0.008599250317
477	0.008572589556
478	0.008536644777
479	0.00847583135
480	0.008445852598
481	0.008423391183
482	0.008402306239
483	0.008343644142
484	0.008341007233
485	0.008292555809
486	0.008255017598
487	0.008230745792
488	0.008181764285
489	0.008154982726
490	0.008133035501
491	0.008128271103
492	0.008108487129
493	0.008075506687
494	0.008068180879
495	0.008041768074
496	0.008015135924
497	0.007974490325
498	0.007937089602
499	0.007935821215
